Instance	Objective value	Opened sites
gs750a-5	763614	3 12 31 46 54 65 74 88 91 96 102 104 112 114 119 135 150 182 198 202 207 231 234 288 302 317 356 359 386 394 397 410 411 417 421 425 483 579 582 587 607 612 638 644 654 662 663 669 672 680 693 707 716 720 721 725 731 744
gs750b-1	797026	41 45 67 75 128 130 213 232 237 242 279 281 313 428 487 538 573 658 698 699 725 743
gs750b-2	796170	1 10 108 126 191 213 214 257 265 314 336 341 348 367 444 450 494 508 617 636 639 650 661
gs750b-3	796589	22 26 64 135 171 192 281 291 304 317 446 462 484 553 561 583 702 706 715 727 728
gs750b-4	796709	4 59 81 95 107 113 165 174 179 190 238 248 261 294 305 355 431 459 616 641 654 721
gs750b-5	796365	3 31 74 90 104 200 281 302 359 392 394 427 487 540 549 568 593 627 635 693 707 709
gs750c-1	900363	67 112 128 428 479 603 639
gs750c-2	897886	29 92 108 265 336 494 639
gs750c-3	901089	6 44 304 583 624 680 698
gs750c-4	901239	26 139 151 287 522 628 721
gs750c-5	900216	104 198 302 557 607 635 707
